number:603
(item['aid'],item['coin'],item['danmaku'],item['favorite'],item['his_rank'],item['like'],item['no_reprint'],item['now_rank'],item['reply'],item['share'],item['view'], item['tag'])
"8388755", "0", "7", "0", "0", "0", "0", "0", "2", "8", "513", "手机游戏|手游|崩坏3|崩坏3抽奖"
"16777369", "0", "0", "0", "0", "2", "1", "0", "0", "0", "100", "绝地求生|直播录像"
"12583071", "22", "11", "20", "0", "3", "0", "0", "163", "4", "780", "独立游戏|国产|试玩|初见实况|GameNova"
"8388764", "13", "23", "58", "0", "1", "0", "0", "10", "12", "645", "演唱会|GORILLAZ|音乐选集|live|Damon Albarn|牙爹"
"16777383", "0", "0", "0", "0", "1", "0", "0", "0", "0", "19", "电影剪辑"
"18874541", "40", "298", "1115", "0", "302", "0", "0", "552", "347", "99331", "卖萌|萌萌哒|可爱|异瞳|折耳猫"
"14680235", "1", "0", "2", "0", "0", "0", "0", "1", "0", "41", "美食|吃播|吃货|川菜|美食圈|披萨|苏州|关于吃|暖胃|暖胃行"
"16777391", "0", "1", "3", "0", "0", "0", "0", "0", "3", "1795", "单机游戏|生化危机|单机联机|启示录|Switch"
"10485939", "0", "6", "5", "0", "0", "0", "0", "1", "2", "724", "网络游戏|星际公民|演示"
"8388784", "48", "256", "800", "0", "8", "0", "0", "130", "31", "40204", "手工|技术宅|打火机|3D打印|DIY|电子打火机"
"18874548", "4", "5", "2", "0", "2", "1", "0", "6", "1", "223", "鼓楼|开封|夜市美食|炒凉粉|volg|书店街"
"6291645", "0", "4", "2", "0", "0", "0", "0", "17", "3", "430", "汽车|日本|本田|跑车|超跑|讴歌"
"18874560", "0", "0", "0", "0", "1", "1", "0", "0", "0", "47", "恐怖游戏|直播|单机|录播|娱乐|极度恐慌2|录像"
"12583113", "0", "0", "10", "0", "0", "0", "0", "0", "1", "581", "央视"
"8388806", "3", "2", "0", "0", "0", "0", "0", "2", "2", "610", "守望先锋|网络游戏|电子竞技"
"10485965", "33", "10", "40", "0", "1", "0", "0", "64", "6", "4288", "搞笑|脑洞|德国骨科|短小快|埃罗芒阿老师|妹控"
"12583127", "93", "622", "340", "0", "77", "0", "0", "238", "9", "54828", "ASMR|德叔|催眠|睡觉"
"14680281", "0", "0", "0", "0", "0", "0", "0", "0", "1", "4", "Korea音乐舞蹈|Korea相关|Paul Kim"
"12583133", "65", "94", "329", "0", "16", "0", "0", "77", "31", "10025", "秦时明月|少司命|聂蓉|赤练|紫女|雪女|石兰|天行九歌|焰灵姬"
"12583130", "35", "404", "659", "0", "23", "1", "0", "123", "9", "22694", "手工|日常|文具|推荐"
"2097375", "9", "9", "14", "0", "0", "0", "0", "3", "4", "1109", ""
"12583140", "15", "57", "287", "0", "20", "0", "0", "144", "128", "82640", "搞笑|萌宠|铲屎官|调戏|日常|卖萌|可爱|搞笑视频|汪星人|萌|动物圈"
"6291684", "34", "31", "71", "0", "0", "0", "0", "12", "19", "2543", "狐妖小红娘|狐妖小红娘梦回还"
"12583147", "15", "835", "154", "0", "6", "0", "0", "187", "68", "22070", "足球"
"12583143", "2", "0", "0", "0", "0", "0", "0", "0", "0", "17", "Study with me|椒盐海糖味の日常"
"4194541", "15", "22", "93", "0", "4", "0", "0", "4", "24", "4722", "金秀贤采访|金秀贤CUT"
"4194548", "2", "0", "50", "0", "1", "0", "0", "5", "4", "921", "GALGAME|SAYORI|仆と恋するポンコツアクマ。"
"2097396", "17", "179", "6", "0", "0", "0", "0", "37", "5", "2211", "mugen|MUGEN|4:3|16:9看OP"
"8388876", "12", "2", "3", "0", "0", "0", "0", "22", "5", "491", "春装|小役nanako"
"2097423", "3", "11", "1", "0", "0", "0", "0", "1", "6", "492", "英雄联盟|电子竞技|安妮|定级赛"
"8388889", "0", "0", "0", "0", "0", "0", "0", "0", "2", "60", "呼啦圈"
"2097434", "692", "9124", "5612", "14", "17", "0", "0", "769", "83", "319618", "Fate/stay night|刀剑神域|ALDNOAH ZERO|一年就几次的视频|动漫杂谈|恐怖残响|毒舌老外系列|GIGGUK|FATE|杂谈|东京残响"
"8388888", "16", "122", "145", "0", "2", "0", "0", "32", "4", "15343", "吃播|AFREECA TV|生肉|吃货|韩国吃播"
"10486047", "0", "0", "0", "0", "0", "1", "0", "0", "0", "1", "日常"
"2097440", "1", "4", "0", "0", "0", "0", "0", "0", "0", "478", "DOTA2|自制|恶魔解说"
"18874654", "0", "4", "16", "0", "0", "0", "0", "7", "1", "534", "京剧|戏曲"
"2097449", "1", "5", "47", "0", "1", "0", "0", "0", "2", "2076", "星组|宝冢|红ゆずる"
"8388911", "4", "4", "48", "0", "0", "0", "0", "1", "12", "1299", "【WAVEYA】"
"2097459", "4", "21", "24", "0", "0", "0", "0", "4", "5", "3200", "科普|NOGGING|LIFE NOGGIN|为什么|AJ|尼玛已存在"
"6291761", "12", "1", "4", "0", "0", "0", "0", "20", "9", "281", "iwanna"
"12583223", "0", "7", "62", "0", "9", "0", "0", "14", "3", "4413", "王俊凯|我们的少年时代|邬童|王源|剪辑|易烊千玺|TFBOYS|电视剧|班小松|尹柯"
"12583225", "3", "0", "0", "0", "0", "0", "0", "2", "0", "47", "手机游戏|fgo|Fate/Grand Order|fgo国服"
"14680378", "4", "0", "5", "0", "0", "0", "0", "0", "1", "162", "桐谷健太|日本|SONGS|奥田民生"
"6291771", "3", "10", "29", "0", "0", "0", "0", "2", "1", "1105", "血腥|电臀舞|血腥重口|电臀|Lexy Panterra"
"2097479", "153", "675", "65", "0", "12", "0", "0", "115", "3", "20486", "电子竞技|英雄联盟|笑笑七号密室脱衣|游戏直播|7叔|四大皆空"
"16777543", "1", "1", "0", "0", "0", "1", "0", "4", "0", "34", "手机游戏|实况|崩坏3|非酋日常"
"12583244", "33", "936", "65", "0", "23", "0", "0", "112", "26", "23089", ""
"10486093", "69", "12", "19", "0", "1", "0", "0", "59", "3", "662", "翻唱|日文翻唱|外语翻唱|国人女声|好听不火系列|尼尔机械纪元"
"16777559", "369", "1135", "2602", "0", "350", "0", "0", "540", "6030", "283670", "电子竞技|绝地求生"
"4194646", "1", "3", "23", "0", "0", "0", "0", "2", "11", "618", "WWE|PPV"
"10486106", "8", "23", "34", "0", "2", "0", "0", "10", "33", "669", "演奏|演唱会|合奏|全程高能|翻弹"
"4194649", "8", "7", "18", "0", "0", "0", "0", "5", "6", "3406", "搞笑|萌宠|恶搞|汪星人|逗比|原创|二哈|铲屎官|可爱|呆萌|卖萌"
"6291806", "221", "73", "159", "0", "3", "0", "0", "19", "47", "3335", "得瑟|朱莉叶|朱莉叶的野唱会|野唱会"
"10486122", "2", "0", "0", "0", "0", "1", "0", "3", "1", "105", "剑侠世界手游"
"16777567", "2", "0", "1", "0", "2", "0", "0", "2", "0", "31", "舞蹈|明星舞蹈|韩舞"
"2097534", "1", "1", "1", "0", "0", "0", "0", "0", "2", "335", "实况攻略|瘟疫公司|实况解说"
"14680442", "1", "0", "0", "0", "0", "1", "0", "1", "0", "51", "刘畅|影视剪影|剪辑|电视剧|古装|荆轲"
"10486143", "5", "10", "2", "0", "0", "1", "0", "11", "1", "1191", "手机游戏|FGO|Fate|Fate/Grand Order|FGO暴击队|FGO黑贞|FGO黑贞暴击队"
"14680448", "9", "68", "50", "0", "6", "0", "0", "31", "10", "22281", "体育|运动|足球"
"18874752", "4", "7", "13", "0", "9", "1", "0", "41", "1", "8068", "体育|运动|篮球|CBA|山东高速男篮|陶汉林"
"4194693", "0", "0", "1", "0", "0", "0", "0", "1", "5", "55", "电音|音乐|耳机福利|MRSUICIDESHEEP"
"4194686", "5", "46", "1", "0", "0", "0", "0", "2", "2", "154", "我的世界|MINECRAFT"
"4194704", "34", "115", "13", "0", "0", "0", "0", "39", "12", "10641", "吃播|美食|吃货|深夜报社|美食视频|自制|萌妹纸"
"16777628", "37", "34", "9", "0", "28", "0", "0", "27", "1", "2940", "电子竞技|王者荣耀|第一视角|直播录像|最强打野|Carry|Boos|国服最强赵云"
"12583330", "0", "0", "0", "0", "0", "1", "0", "1", "1", "28", "GMV"
"8389029", "31", "3", "13", "0", "9", "0", "0", "38", "8", "944", "演奏|吉他|木吉他"
"16777622", "4", "2", "16", "0", "3", "0", "0", "4", "2", "1056", "演奏|伍伍慧|吉他|指弹|木吉他|手工琴|fly robin"
"12583340", "41", "84", "733", "0", "50", "1", "0", "22", "54", "13443", "李知恩|IU|Korea相关"
"14680494", "9", "8", "21", "0", "2", "0", "0", "11", "1", "529", "剪辑|影视剪影|电视剧|同性|盲go|张振朗|王浩信|腐向|踩过界|盲侠大律师"
"14680502", "10", "71", "284", "0", "2", "0", "0", "31", "7", "5932", "明星|佐藤健|前田敦子|Q10"
"10486208", "0", "0", "4", "0", "0", "1", "0", "0", "0", "229", "田馥甄|演唱会|现场|港台音乐"
"4194753", "1", "5", "14", "0", "0", "0", "0", "0", "5", "415", "剑网3|原创歌曲|同人音乐|古风|剑三|原创音乐"
"12583365", "5", "16", "47", "0", "0", "0", "0", "11", "2", "798", "郑艺琳|崔俞娜|丁恩妃|GFriend|金艺源|黄恩妃|金韶情"
"2097602", "1", "19", "35", "0", "0", "0", "0", "9", "7", "4082", "美食|料理制作|调酒|鸡尾酒|TIPSY BARTENDER"
"4194760", "6", "68", "306", "0", "7", "0", "0", "4", "14", "3407", "朴有天|郑允浩|沈昌珉|金俊秀|金在中|东方神起"
"8389067", "0", "0", "0", "0", "0", "0", "0", "0", "4", "161", "电子竞技|守望先锋|蜜汁坠井"
"2097610", "3", "10", "3", "0", "0", "0", "0", "6", "0", "490", "mugen|剧情向|MUGEN|神战"
"6291925", "0", "0", "0", "0", "0", "0", "0", "0", "3", "15", "黄鸿升|小鬼黃鴻升|小鬼黄鸿升"
"16777684", "4", "3", "1", "0", "11", "0", "0", "5", "0", "776", "运动|极限运动|攀岩|挑战|户外运动"
